state,year,month,blood_type,donations
Kedah,2020,10,a,364
Kedah,2020,10,ab,113
Kedah,2020,10,all,1566
Kedah,2020,10,b,423
Kedah,2020,10,o,666
Kedah,2020,11,a,415
Kedah,2020,11,ab,98
Kedah,2020,11,all,1633
Kedah,2020,11,b,442
Kedah,2020,11,o,678
Kedah,2020,12,a,422
Kedah,2020,12,ab,141
Kedah,2020,12,all,1889
Kedah,2020,12,b,565
Kedah,2020,12,o,761
Kedah,2021,1,a,394
Kedah,2021,1,ab,89
Kedah,2021,1,all,1603
Kedah,2021,1,b,456
Kedah,2021,1,o,664
Kedah,2021,2,a,412
Kedah,2021,2,ab,111
Kedah,2021,2,all,1680
Kedah,2021,2,b,451
Kedah,2021,2,o,706
Kedah,2021,3,a,369
Kedah,2021,3,ab,91
Kedah,2021,3,all,1561
Kedah,2021,3,b,457
Kedah,2021,3,o,644
Kedah,2021,4,a,422
Kedah,2021,4,ab,121
Kedah,2021,4,all,1683
Kedah,2021,4,b,497
Kedah,2021,4,o,643
Kedah,2021,5,a,340
Kedah,2021,5,ab,72
Kedah,2021,5,all,1400
Kedah,2021,5,b,408
Kedah,2021,5,o,580
Kedah,2021,6,a,427
Kedah,2021,6,ab,117
Kedah,2021,6,all,1682
Kedah,2021,6,b,478
Kedah,2021,6,o,660
Kedah,2021,7,a,404
Kedah,2021,7,ab,104
Kedah,2021,7,all,1665
Kedah,2021,7,b,482
Kedah,2021,7,o,675
Kedah,2021,8,a,398
Kedah,2021,8,ab,94
Kedah,2021,8,all,1686
Kedah,2021,8,b,487
Kedah,2021,8,o,707
Kedah,2021,9,a,375
Kedah,2021,9,ab,105
Kedah,2021,9,all,1471
Kedah,2021,9,b,393
Kedah,2021,9,o,598
Kedah,2021,10,a,393
Kedah,2021,10,ab,103
Kedah,2021,10,all,1707
Kedah,2021,10,b,486
Kedah,2021,10,o,725
Kedah,2021,11,a,495
Kedah,2021,11,ab,119
Kedah,2021,11,all,1991
Kedah,2021,11,b,557
Kedah,2021,11,o,820
Kedah,2021,12,a,423
Kedah,2021,12,ab,108
Kedah,2021,12,all,1817
Kedah,2021,12,b,540
Kedah,2021,12,o,746
Kedah,2022,1,a,469
Kedah,2022,1,ab,98
Kedah,2022,1,all,1830
Kedah,2022,1,b,510
Kedah,2022,1,o,753
Kedah,2022,2,a,401
Kedah,2022,2,ab,93
Kedah,2022,2,all,1574
Kedah,2022,2,b,426
Kedah,2022,2,o,654
Kedah,2022,3,a,446
Kedah,2022,3,ab,110
Kedah,2022,3,all,1797
Kedah,2022,3,b,520
Kedah,2022,3,o,721
Kedah,2022,4,a,287
Kedah,2022,4,ab,66
Kedah,2022,4,all,1051
Kedah,2022,4,b,297
Kedah,2022,4,o,401
Kedah,2022,5,a,524
Kedah,2022,5,ab,131
Kedah,2022,5,all,2187
Kedah,2022,5,b,614
Kedah,2022,5,o,918
Kedah,2022,6,a,465
Kedah,2022,6,ab,107
Kedah,2022,6,all,1860
Kedah,2022,6,b,537
Kedah,2022,6,o,751
Kedah,2022,7,a,439
Kedah,2022,7,ab,116
Kedah,2022,7,all,1714
Kedah,2022,7,b,489
Kedah,2022,7,o,670
Kedah,2022,8,a,446
Kedah,2022,8,ab,133
Kedah,2022,8,all,1888
Kedah,2022,8,b,566
Kedah,2022,8,o,743
Kedah,2022,9,a,420
Kedah,2022,9,ab,117
Kedah,2022,9,all,1759
Kedah,2022,9,b,472
Kedah,2022,9,o,750
Kedah,2022,10,a,487
Kedah,2022,10,ab,132
Kedah,2022,10,all,2012
Kedah,2022,10,b,582
Kedah,2022,10,o,811
Kedah,2022,11,a,406
Kedah,2022,11,ab,107
Kedah,2022,11,all,1642
Kedah,2022,11,b,409
Kedah,2022,11,o,720
Kedah,2022,12,a,421
Kedah,2022,12,ab,117
Kedah,2022,12,all,1814
Kedah,2022,12,b,522
Kedah,2022,12,o,754
Kedah,2023,1,a,520
Kedah,2023,1,ab,138
Kedah,2023,1,all,2086
Kedah,2023,1,b,560
Kedah,2023,1,o,868
Kedah,2023,2,a,482
Kedah,2023,2,ab,103
Kedah,2023,2,all,1826
Kedah,2023,2,b,487
Kedah,2023,2,o,754
Kedah,2023,3,a,535
Kedah,2023,3,ab,115
